Unnamed: 0,sample,sample_id,word_id_gold,word,pos_gold,analysis,lemma_gold,language,glossing,glossing_id,manuscript,word_id_pred,lemma_pred,pos_pred
,Ang.50a02c: fit lumen ineis in hoc tempore.    'light is caused in them at this time',Ang.50a02c,http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.3,eis,PRON,abl.pl.neut.,is,la,gl. circumpositaShow Parallels,http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_25a,Ang,Ang.50a02c_4,is,PRON
,Ang.50a02c: fit lumen ineis in hoc tempore.    'light is caused in them at this time',Ang.50a02c,http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.4,in,ADP,,in,la,gl. circumpositaShow Parallels,http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_25a,Ang,Ang.50a02c_3,in,ADP
,Ang.50a02c: fit lumen ineis in hoc tempore.    'light is caused in them at this time',Ang.50a02c,http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.4,in,ADP,,in,la,gl. circumpositaShow Parallels,http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_25a,Ang,Ang.50a02c_5,in,ADP
,Ang.50a02c: fit lumen ineis in hoc tempore.    'light is caused in them at this time',Ang.50a02c,http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.5,hoc,DET,abl.sg.neut.,hic,la,gl. circumpositaShow Parallels,http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_25a,Ang,Ang.50a02c_6,hic,DET
,Ang.50a02c: fit lumen ineis in hoc tempore.    'light is caused in them at this time',Ang.50a02c,http://gams.uni-graz.at/o:glossvibe.bvi#Ang.50a02c.6,tempore,NOUN,abl.sg.neut.,tempus,la,gl. circumpositaShow Parallels,http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_25a,Ang,Ang.50a02c_7,tempus,NOUN
,BVi.01a19a: uel absida sedes epis copalis et ??? graecus et in terpretatur splen dida    'or the apse of the bishop's seat and ??? Greek and it is interpretated as bright',BVi.01a19a,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.0,uel,CCONJ,,uel,la,gl. ???,http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_32a,BVi,BVi.01a19a_1,uel,CCONJ
,BVi.01a19a: uel absida sedes epis copalis et ??? graecus et in terpretatur splen dida    'or the apse of the bishop's seat and ??? Greek and it is interpretated as bright',BVi.01a19a,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.1,absida,NOUN,nom.sg.fem.,absida,la,gl. ???,http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_32a,BVi,BVi.01a19a_2,absida,NOUN
,BVi.01a19a: uel absida sedes epis copalis et ??? graecus et in terpretatur splen dida    'or the apse of the bishop's seat and ??? Greek and it is interpretated as bright',BVi.01a19a,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.2,sedes,NOUN,nom.sg.fem.,sedes,la,gl. ???,http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_32a,BVi,BVi.01a19a_3,sedes,NOUN
,BVi.01a19a: uel absida sedes epis copalis et ??? graecus et in terpretatur splen dida    'or the apse of the bishop's seat and ??? Greek and it is interpretated as bright',BVi.01a19a,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.3,episcopalis,ADJ,nom.sg.fem.pos.,episcopalis,la,gl. ???,http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_32a,BVi,BVi.01a19a_4,episcopalis,ADJ
,BVi.01a19a: uel absida sedes epis copalis et ??? graecus et in terpretatur splen dida    'or the apse of the bishop's seat and ??? Greek and it is interpretated as bright',BVi.01a19a,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.4,et,CCONJ,,et,la,gl. ???,http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_32a,BVi,BVi.01a19a_5,et,CCONJ
,BVi.01a19a: uel absida sedes epis copalis et ??? graecus et in terpretatur splen dida    'or the apse of the bishop's seat and ??? Greek and it is interpretated as bright',BVi.01a19a,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.4,et,CCONJ,,et,la,gl. ???,http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_32a,BVi,BVi.01a19a_2,et,CCONJ
,BVi.01a19a: uel absida sedes epis copalis et ??? graecus et in terpretatur splen dida    'or the apse of the bishop's seat and ??? Greek and it is interpretated as bright',BVi.01a19a,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.6,graecus,NOUN,nom.sg.masc.,graecus,la,gl. ???,http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_32a,BVi,BVi.01a19a_1,graecus,ADJ
,BVi.01a19a: uel absida sedes epis copalis et ??? graecus et in terpretatur splen dida    'or the apse of the bishop's seat and ??? Greek and it is interpretated as bright',BVi.01a19a,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.7,et,CCONJ,,et,la,gl. ???,http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_32a,BVi,BVi.01a19a_5,et,CCONJ
,BVi.01a19a: uel absida sedes epis copalis et ??? graecus et in terpretatur splen dida    'or the apse of the bishop's seat and ??? Greek and it is interpretated as bright',BVi.01a19a,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.7,et,CCONJ,,et,la,gl. ???,http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_32a,BVi,BVi.01a19a_2,et,CCONJ
,BVi.01a19a: uel absida sedes epis copalis et ??? graecus et in terpretatur splen dida    'or the apse of the bishop's seat and ??? Greek and it is interpretated as bright',BVi.01a19a,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.8,interpretatur,VERB,3sg.pres.ind.pass.,interpretor,la,gl. ???,http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_32a,BVi,BVi.01a19a_3,interpretor,VERB
,BVi.01a19a: uel absida sedes epis copalis et ??? graecus et in terpretatur splen dida    'or the apse of the bishop's seat and ??? Greek and it is interpretated as bright',BVi.01a19a,http://gams.uni-graz.at/o:glossvibe.bvi#BVi.01a19a.9,splendida,ADJ,nom.sg.fem.pos.,splendidus,la,gl. ???,http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_32a,BVi,BVi.01a19a_4,splendidus,ADJ
,BCr.27a53: apparent    'they appear',BCr.27a53,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27a53.0,apparent,VERB,3pl.pres.ind.act.,appareo,la,gl. parentShow Parallels,http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_32b,BCr,BCr.27a53_1,appareo,VERB
,"BCr.27b03: .id est. absida graece interpretatur lucida eo quorum lumine accepto per arcam resplendeat. sed utrum absidam an absidam dicere debemus hic uerbi genus hic uerbi genus ambiguum quidam doctorum existimant ..,    'i.e. in Greek absida is translated as bright ???'",BCr.27b03,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.0,idest,,,.i.,la,gl. circuli absidasShow Parallels,http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_34a,BCr,BCr.27b03_1,idest,CCONJ
,"BCr.27b03: .id est. absida graece interpretatur lucida eo quorum lumine accepto per arcam resplendeat. sed utrum absidam an absidam dicere debemus hic uerbi genus hic uerbi genus ambiguum quidam doctorum existimant ..,    'i.e. in Greek absida is translated as bright ???'",BCr.27b03,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.01,absida,NOUN,nom.sg.fem.,absida,la,gl. circuli absidasShow Parallels,http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_34a,BCr,BCr.27b03_2,absida,NOUN
,"BCr.27b03: .id est. absida graece interpretatur lucida eo quorum lumine accepto per arcam resplendeat. sed utrum absidam an absidam dicere debemus hic uerbi genus hic uerbi genus ambiguum quidam doctorum existimant ..,    'i.e. in Greek absida is translated as bright ???'",BCr.27b03,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.02,graece,ADV,,graece,la,gl. circuli absidasShow Parallels,http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_34a,BCr,BCr.27b03_3,graece,PROPN
,"BCr.27b03: .id est. absida graece interpretatur lucida eo quorum lumine accepto per arcam resplendeat. sed utrum absidam an absidam dicere debemus hic uerbi genus hic uerbi genus ambiguum quidam doctorum existimant ..,    'i.e. in Greek absida is translated as bright ???'",BCr.27b03,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.03,interpretatur,VERB,3sg.pres.ind.pass.,interpretor,la,gl. circuli absidasShow Parallels,http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_34a,BCr,BCr.27b03_4,interpretor,VERB
,"BCr.27b03: .id est. absida graece interpretatur lucida eo quorum lumine accepto per arcam resplendeat. sed utrum absidam an absidam dicere debemus hic uerbi genus hic uerbi genus ambiguum quidam doctorum existimant ..,    'i.e. in Greek absida is translated as bright ???'",BCr.27b03,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.04,lucida,ADJ,nom.sg.fem.pos.,lucidus,la,gl. circuli absidasShow Parallels,http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_34a,BCr,BCr.27b03_5,lucidus,ADJ
,"BCr.27b03: .id est. absida graece interpretatur lucida eo quorum lumine accepto per arcam resplendeat. sed utrum absidam an absidam dicere debemus hic uerbi genus hic uerbi genus ambiguum quidam doctorum existimant ..,    'i.e. in Greek absida is translated as bright ???'",BCr.27b03,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.05,eo,PRON,abl.sg.neut.,is,la,gl. circuli absidasShow Parallels,http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_34a,BCr,BCr.27b03_6,is,PRON
,"BCr.27b03: .id est. absida graece interpretatur lucida eo quorum lumine accepto per arcam resplendeat. sed utrum absidam an absidam dicere debemus hic uerbi genus hic uerbi genus ambiguum quidam doctorum existimant ..,    'i.e. in Greek absida is translated as bright ???'",BCr.27b03,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.06,quorum,PRON,gen.pl.neut.,qui,la,gl. circuli absidasShow Parallels,http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_34a,BCr,BCr.27b03_7,qui,PRON
,"BCr.27b03: .id est. absida graece interpretatur lucida eo quorum lumine accepto per arcam resplendeat. sed utrum absidam an absidam dicere debemus hic uerbi genus hic uerbi genus ambiguum quidam doctorum existimant ..,    'i.e. in Greek absida is translated as bright ???'",BCr.27b03,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.07,lumine,NOUN,abl.sg.neut.,lumen,la,gl. circuli absidasShow Parallels,http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_34a,BCr,BCr.27b03_8,lumen,NOUN
,"BCr.27b03: .id est. absida graece interpretatur lucida eo quorum lumine accepto per arcam resplendeat. sed utrum absidam an absidam dicere debemus hic uerbi genus hic uerbi genus ambiguum quidam doctorum existimant ..,    'i.e. in Greek absida is translated as bright ???'",BCr.27b03,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.08,accepto,VERB,abl.sg.neut.participle.,accipio,la,gl. circuli absidasShow Parallels,http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_34a,BCr,BCr.27b03_9,accipio,VERB
,"BCr.27b03: .id est. absida graece interpretatur lucida eo quorum lumine accepto per arcam resplendeat. sed utrum absidam an absidam dicere debemus hic uerbi genus hic uerbi genus ambiguum quidam doctorum existimant ..,    'i.e. in Greek absida is translated as bright ???'",BCr.27b03,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.09,per,ADP,,per,la,gl. circuli absidasShow Parallels,http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_34a,BCr,BCr.27b03_10,per,ADP
,"BCr.27b03: .id est. absida graece interpretatur lucida eo quorum lumine accepto per arcam resplendeat. sed utrum absidam an absidam dicere debemus hic uerbi genus hic uerbi genus ambiguum quidam doctorum existimant ..,    'i.e. in Greek absida is translated as bright ???'",BCr.27b03,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.10,arcam,NOUN,acc.sg.fem.,arca,la,gl. circuli absidasShow Parallels,http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_34a,BCr,BCr.27b03_11,arca,NOUN
,"BCr.27b03: .id est. absida graece interpretatur lucida eo quorum lumine accepto per arcam resplendeat. sed utrum absidam an absidam dicere debemus hic uerbi genus hic uerbi genus ambiguum quidam doctorum existimant ..,    'i.e. in Greek absida is translated as bright ???'",BCr.27b03,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.11,resplendeat,VERB,3sg.pres.subjunctive.act.,resplendeo,la,gl. circuli absidasShow Parallels,http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_34a,BCr,BCr.27b03_12,resplendeo,VERB
,"BCr.27b03: .id est. absida graece interpretatur lucida eo quorum lumine accepto per arcam resplendeat. sed utrum absidam an absidam dicere debemus hic uerbi genus hic uerbi genus ambiguum quidam doctorum existimant ..,    'i.e. in Greek absida is translated as bright ???'",BCr.27b03,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.12,sed,CCONJ,,sed,la,gl. circuli absidasShow Parallels,http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_34a,BCr,BCr.27b03_13,sed,CCONJ
,"BCr.27b03: .id est. absida graece interpretatur lucida eo quorum lumine accepto per arcam resplendeat. sed utrum absidam an absidam dicere debemus hic uerbi genus hic uerbi genus ambiguum quidam doctorum existimant ..,    'i.e. in Greek absida is translated as bright ???'",BCr.27b03,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.13,utrum,ADV,,utrum,la,gl. circuli absidasShow Parallels,http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_34a,BCr,BCr.27b03_14,utrum,ADV
,"BCr.27b03: .id est. absida graece interpretatur lucida eo quorum lumine accepto per arcam resplendeat. sed utrum absidam an absidam dicere debemus hic uerbi genus hic uerbi genus ambiguum quidam doctorum existimant ..,    'i.e. in Greek absida is translated as bright ???'",BCr.27b03,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.14,absidam,NOUN,acc.sg.fem.,absida,la,gl. circuli absidasShow Parallels,http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_34a,BCr,BCr.27b03_15,absida,NOUN
,"BCr.27b03: .id est. absida graece interpretatur lucida eo quorum lumine accepto per arcam resplendeat. sed utrum absidam an absidam dicere debemus hic uerbi genus hic uerbi genus ambiguum quidam doctorum existimant ..,    'i.e. in Greek absida is translated as bright ???'",BCr.27b03,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.14,absidam,NOUN,acc.sg.fem.,absida,la,gl. circuli absidasShow Parallels,http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_34a,BCr,BCr.27b03_17,absida,NOUN
,"BCr.27b03: .id est. absida graece interpretatur lucida eo quorum lumine accepto per arcam resplendeat. sed utrum absidam an absidam dicere debemus hic uerbi genus hic uerbi genus ambiguum quidam doctorum existimant ..,    'i.e. in Greek absida is translated as bright ???'",BCr.27b03,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.15,an,CCONJ,,an,la,gl. circuli absidasShow Parallels,http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_34a,BCr,BCr.27b03_16,an,SCONJ
,"BCr.27b03: .id est. absida graece interpretatur lucida eo quorum lumine accepto per arcam resplendeat. sed utrum absidam an absidam dicere debemus hic uerbi genus hic uerbi genus ambiguum quidam doctorum existimant ..,    'i.e. in Greek absida is translated as bright ???'",BCr.27b03,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.16,absidam,NOUN,acc.sg.fem.,absida,la,gl. circuli absidasShow Parallels,http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_34a,BCr,BCr.27b03_15,absida,NOUN
,"BCr.27b03: .id est. absida graece interpretatur lucida eo quorum lumine accepto per arcam resplendeat. sed utrum absidam an absidam dicere debemus hic uerbi genus hic uerbi genus ambiguum quidam doctorum existimant ..,    'i.e. in Greek absida is translated as bright ???'",BCr.27b03,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.16,absidam,NOUN,acc.sg.fem.,absida,la,gl. circuli absidasShow Parallels,http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_34a,BCr,BCr.27b03_17,absida,NOUN
,"BCr.27b03: .id est. absida graece interpretatur lucida eo quorum lumine accepto per arcam resplendeat. sed utrum absidam an absidam dicere debemus hic uerbi genus hic uerbi genus ambiguum quidam doctorum existimant ..,    'i.e. in Greek absida is translated as bright ???'",BCr.27b03,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.17,dicere,VERB,pres.infinitive.act.,dico,la,gl. circuli absidasShow Parallels,http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_34a,BCr,BCr.27b03_18,dico,VERB
,"BCr.27b03: .id est. absida graece interpretatur lucida eo quorum lumine accepto per arcam resplendeat. sed utrum absidam an absidam dicere debemus hic uerbi genus hic uerbi genus ambiguum quidam doctorum existimant ..,    'i.e. in Greek absida is translated as bright ???'",BCr.27b03,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.18,debemus,VERB,1pl.pres.ind.act.,debeo,la,gl. circuli absidasShow Parallels,http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_34a,BCr,BCr.27b03_19,debeo,VERB
,"BCr.27b03: .id est. absida graece interpretatur lucida eo quorum lumine accepto per arcam resplendeat. sed utrum absidam an absidam dicere debemus hic uerbi genus hic uerbi genus ambiguum quidam doctorum existimant ..,    'i.e. in Greek absida is translated as bright ???'",BCr.27b03,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.19,hic,DET,nom.sg.neut.,hic,la,gl. circuli absidasShow Parallels,http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_34a,BCr,BCr.27b03_20,hic,DET
,"BCr.27b03: .id est. absida graece interpretatur lucida eo quorum lumine accepto per arcam resplendeat. sed utrum absidam an absidam dicere debemus hic uerbi genus hic uerbi genus ambiguum quidam doctorum existimant ..,    'i.e. in Greek absida is translated as bright ???'",BCr.27b03,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.19,hic,DET,nom.sg.neut.,hic,la,gl. circuli absidasShow Parallels,http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_34a,BCr,BCr.27b03_23,hic,DET
,"BCr.27b03: .id est. absida graece interpretatur lucida eo quorum lumine accepto per arcam resplendeat. sed utrum absidam an absidam dicere debemus hic uerbi genus hic uerbi genus ambiguum quidam doctorum existimant ..,    'i.e. in Greek absida is translated as bright ???'",BCr.27b03,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.20,uerbi,NOUN,gen.sg.neut.,uerbum,la,gl. circuli absidasShow Parallels,http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_34a,BCr,BCr.27b03_21,uerbum,NOUN
,"BCr.27b03: .id est. absida graece interpretatur lucida eo quorum lumine accepto per arcam resplendeat. sed utrum absidam an absidam dicere debemus hic uerbi genus hic uerbi genus ambiguum quidam doctorum existimant ..,    'i.e. in Greek absida is translated as bright ???'",BCr.27b03,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.20,uerbi,NOUN,gen.sg.neut.,uerbum,la,gl. circuli absidasShow Parallels,http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_34a,BCr,BCr.27b03_24,uerbum,NOUN
,"BCr.27b03: .id est. absida graece interpretatur lucida eo quorum lumine accepto per arcam resplendeat. sed utrum absidam an absidam dicere debemus hic uerbi genus hic uerbi genus ambiguum quidam doctorum existimant ..,    'i.e. in Greek absida is translated as bright ???'",BCr.27b03,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.21,genus,NOUN,acc.sg.neut.,genus,la,gl. circuli absidasShow Parallels,http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_34a,BCr,BCr.27b03_22,genus,NOUN
,"BCr.27b03: .id est. absida graece interpretatur lucida eo quorum lumine accepto per arcam resplendeat. sed utrum absidam an absidam dicere debemus hic uerbi genus hic uerbi genus ambiguum quidam doctorum existimant ..,    'i.e. in Greek absida is translated as bright ???'",BCr.27b03,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.21,genus,NOUN,acc.sg.neut.,genus,la,gl. circuli absidasShow Parallels,http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_34a,BCr,BCr.27b03_25,genus,NOUN
,"BCr.27b03: .id est. absida graece interpretatur lucida eo quorum lumine accepto per arcam resplendeat. sed utrum absidam an absidam dicere debemus hic uerbi genus hic uerbi genus ambiguum quidam doctorum existimant ..,    'i.e. in Greek absida is translated as bright ???'",BCr.27b03,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.22,hic,DET,nom.sg.neut.,hic,la,gl. circuli absidasShow Parallels,http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_34a,BCr,BCr.27b03_20,hic,DET
,"BCr.27b03: .id est. absida graece interpretatur lucida eo quorum lumine accepto per arcam resplendeat. sed utrum absidam an absidam dicere debemus hic uerbi genus hic uerbi genus ambiguum quidam doctorum existimant ..,    'i.e. in Greek absida is translated as bright ???'",BCr.27b03,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.22,hic,DET,nom.sg.neut.,hic,la,gl. circuli absidasShow Parallels,http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_34a,BCr,BCr.27b03_23,hic,DET
,"BCr.27b03: .id est. absida graece interpretatur lucida eo quorum lumine accepto per arcam resplendeat. sed utrum absidam an absidam dicere debemus hic uerbi genus hic uerbi genus ambiguum quidam doctorum existimant ..,    'i.e. in Greek absida is translated as bright ???'",BCr.27b03,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.23,uerbi,NOUN,gen.sg.neut.,uerbum,la,gl. circuli absidasShow Parallels,http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_34a,BCr,BCr.27b03_21,uerbum,NOUN
,"BCr.27b03: .id est. absida graece interpretatur lucida eo quorum lumine accepto per arcam resplendeat. sed utrum absidam an absidam dicere debemus hic uerbi genus hic uerbi genus ambiguum quidam doctorum existimant ..,    'i.e. in Greek absida is translated as bright ???'",BCr.27b03,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.23,uerbi,NOUN,gen.sg.neut.,uerbum,la,gl. circuli absidasShow Parallels,http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_34a,BCr,BCr.27b03_24,uerbum,NOUN
,"BCr.27b03: .id est. absida graece interpretatur lucida eo quorum lumine accepto per arcam resplendeat. sed utrum absidam an absidam dicere debemus hic uerbi genus hic uerbi genus ambiguum quidam doctorum existimant ..,    'i.e. in Greek absida is translated as bright ???'",BCr.27b03,http://gams.uni-graz.at/o:glossvibe.bvi#BCr.27b03.24,genus,NOUN,acc.sg.neut.,genus,la,gl. circuli absidasShow Parallels,http://gams.uni-graz.at/o:glossvibe.bvi#Jon_297_34a,BCr,BCr.27b03_22,genus,NOUN
