"","GlossID","Gloss","Translation","Glossing","Lang.","Ling. Type","Gloss Type","Parallels","Chapter","MS"
"Ang.50a14c","Ang.50a14c"">","paulatim","'little by little'","gl. sensim","la","monolingual","interlinear","AngBVi","VII","Ang"
"BVi.01a30","BVi.01a30"">","paulatim","'little by little'","gl. sensim","la","monolingual","interlinear","AngBVi","VII","BVi"
"Ang.50a20","Ang.50a20"">","cupida auara","'covetous greedy'","gl. auida","la","monolingual","interlinear","AngBCrBVi","VII","Ang"
"BCr.27b23a","BCr.27b23a"">",".i. auara","'greedy'","gl. auida","la","monolingual","interlinear","AngBCrBVi","VII","BCr"
"BVi.01a38","BVi.01a38"">","auara cupida","'greedy covetous'","gl. auida","la","monolingual","interlinear","AngBCrBVi","VII","BVi"
"BCr.27b28","BCr.27b28"">",".i. quaerere","'i.e. to seek'","gl. quaeritandi","la","monolingual","interlinear","BCrBVi","VII","BCr"
"BVi.01a41.06","BVi.01a41.06"">","condes tis","'that they should seek'","gl. quaeritandi","sga","monolingual","interlinear","BCrBVi","VII","BVi"
"BVi.01a42.07","BVi.01a42.07"">","indsoirbe","'the abundance'","gl. copia","sga","monolingual","interlinear","BVi","VII","BVi"
"BVi.01a45","BVi.01a45"">","cetera","'the rest'","gl. etc.","la","monolingual","interlinear","BVi","VII","BVi"
"Ang.50a25b","Ang.50a25b"">","apud scithas","'among the Scythians'","gl. longinquitatem","la","monolingual","interlinear","AngBCrBVi","VII","Ang"
"BCr.27b34","BCr.27b34"">","apud scithios","'among the Scythians'","gl. longinquitatem","la","monolingual","interlinear","AngBCrBVi","VII","BCr"
"BVi.01a46a","BVi.01a46a"">",".i. apud scithas","'among the Scythians'","gl. longinquitatem","la","monolingual","interlinear","AngBCrBVi","VII","BVi"
"Ang.50a26a","Ang.50a26a"">","causa diei modici","'cause of the short day'","gl. breuianda","la","monolingual","interlinear","AngBCrBVi","VII","Ang"
"BCr.27b35","BCr.27b35"">","causa diei modici","'cause of the short day'","gl. breuianda","la","monolingual","interlinear","AngBCrBVi","VII","BCr"
"BVi.01a46b","BVi.01a46b"">","causa diei mo dici","'cause of the short day'","gl. breuianda","la","monolingual","interlinear","AngBCrBVi","VII","BVi"
"Ang.50a26b","Ang.50a26b"">","somno","'sleep'","gl. prolixior","la","monolingual","interlinear","AngBVi","VII","Ang"
"BVi.01a47a","BVi.01a47a"">","somno","'sleep'","gl. prolixior","la","monolingual","interlinear","AngBVi","VII","BVi"
"Ang.50a27a","Ang.50a27a"">","nox","'night'","gl. fouenda","la","monolingual","interlinear","AngBVi","VII","Ang"
"BVi.01a47b","BVi.01a47b"">","nox","'night'","gl. fouenda","la","monolingual","interlinear","AngBVi","VII","BVi"
"Ang.50b03f","Ang.50b03f"">",".i.adseptem","'up to seven'","gl. ad unam finem spectant","la","monolingual","interlinear","AngBVi","VIII","Ang"
"BVi.01b14","BVi.01b14"">","ad septi mo numero","'to the seventh number'","gl. ad unam finem spectant","la","monolingual","interlinear","AngBVi","VIII","BVi"
"BVi.01b16","BVi.01b16"">","to…","''","gl.","","","interlinear","BVi","VIII","BVi"
"BVi.01b19.08","BVi.01b19.08"">","huare isharam foirb th e ind aram séde % is airi conro toich dia á gnimu indi","'because the number six is a perfect number, it is therefore God has constructed his works in it'","gl.","sga","monolingual","interlinear","BVi","VIII","BVi"
"BVi.01b22.09","BVi.01b22.09"">",".i. óien assessed dáu atrian atrí alleth ásé","'i.e. one its sixth, two its third, three its half, six'","gl. ???","sga","monolingual","marginal","BVi","VIII","BVi"
"BVi.01b22","BVi.01b22"">",".i. numer ??","''","gl.","la","monolingual","intercolumnar","BVi","VIII","BVi"
"BVi.01b24","BVi.01b24"">","h.ex","''","gl.","la","monolingual","interlinear","BVi","VIII","BVi"
"Ang.50b12a","Ang.50b12a"">","similitudine septimi diei initiimundi","'likeness of the seventh day of the world's beginning'","gl. septima autem die","la","monolingual","interlinear","AngBCrBVi","VIII","Ang"
"BCr.27c22","BCr.27c22"">","._ adsimilitudinem.uii.diei","'in likeness of the seventh day'","gl. septima autem die","la","monolingual","marginal","AngBCrBVi","VIII","BCr"
"BVi.01b28.10","BVi.01b28.10"">","fo chosmailius septimi diei mundi","'in the likeness of the seventh day of the world'","gl. septima autem die","la & sga","bilingual","interlinear","AngBCrBVi","VIII","BVi"
"BVi.01b36.11","BVi.01b36.11"">","noain mnigtis","'they were named'","gl. censerentur","sga","monolingual","interlinear","BVi","VIII","BVi"
"BVi.01b38","BVi.01b38"">","ebdomada","'week'","gl. hanc","la","monolingual","interlinear","BVi","VIII","BVi"
"Ang.50b32d","Ang.50b32d"">",".i. prouocat","'provokes'","gl. allicit","la","monolingual","interlinear","AngBVi","VIII","Ang"
"BVi.01c08","BVi.01c08"">","prouocat","'provokes'","gl. allicit","la","monolingual","interlinear","AngBVi","VIII","BVi"
"Ang.50b36b","Ang.50b36b"">","complet signiferum","'completes the sign (or constellation) bearing'","gl. proximum","la","monolingual","interlinear","AngBCrBVi","VIII","Ang"
"BCr.27c55","BCr.27c55"">",".i. complet uel ministrat","'i.e. completes or executes'","gl. proximum","la","monolingual","interlinear","AngBCrBVi","VIII","BCr"
"BVi.01c14a","BVi.01c14a"">","complet","'completes'","gl. proximum","la","monolingual","interlinear","AngBCrBVi","VIII","BVi"
"BVi.01c14b","BVi.01c14b"">","ueneri","'Friday'","gl. mercurii sidus","la","monolingual","interlinear","BVi","VIII","BVi"
"Ang.50b37a","Ang.50b37a"">","uelociore","'more swiftly'","gl. ociore","la","monolingual","interlinear","AngBVi","VIII","Ang"
"BVi.01c15","BVi.01c15"">","uelociorium","'more swiftly'","gl. ociore","la","monolingual","interlinear","AngBVi","VIII","BVi"
"BVi.01c16.12","BVi.01c16.12"">","is do árrach tu grene hita incén naili","'it is to overtake the sun where it is at the other time'","gl. ab eo xxii partibus remotior nouissima luna xxuii diebus et uiii horis","sga","monolingual","intercolumnar","BVi","VIII","BVi"
"Ang.51a05a","Ang.51a05a"">","martis","'Tuesday'","gl. primam","la","monolingual","interlinear","AngBVi","VIII","Ang"
"BVi.01c22b","BVi.01c22b"">","martis","'Tuesday'","gl. primam","la","monolingual","interlinear","AngBVi","VIII","BVi"
"BVi.01c22c.13","BVi.01c22c.13"">","cetain","'Wednesday'","gl. quartae","sga","monolingual","interlinear","BVi","VIII","BVi"
"BVi.01c22a","BVi.01c22a"">","% uiligro percis (?) forais","'???'","gl. ???","la & sga","bilingual","marginal","BVi","VIII","BVi"
"Ang.51a05d","Ang.51a05d"">","mercurius","'Wednesday'","gl. primam","la","monolingual","interlinear","AngBVi","VIII","Ang"
"BVi.01c22d","BVi.01c22d"">","mercorius","'Wednesday'","gl. primam","la","monolingual","interlinear","AngBVi","VIII","BVi"
"Ang.51a05g","Ang.51a05g"">","iouis","'Thursday'","gl. secundam","la","monolingual","interlinear","AngBVi","VIII","Ang"
"BVi.01c23a","BVi.01c23a"">","ioppiter","'Thursday'","gl. secundam","la","monolingual","interlinear","AngBVi","VIII","BVi"
"Ang.51a06b","Ang.51a06b"">","uener","'Friday'","gl. sextae","la","monolingual","interlinear","AngBVi","VIII","Ang"
"BVi.01c23b","BVi.01c23b"">","ueneri","'Friday'","gl. sextae","la","monolingual","interlinear","AngBVi","VIII","BVi"
"Ang.51a06e","Ang.51a06e"">","dies ebdomadae","'days of the week'","gl. ferias","la","monolingual","interlinear","AngBVi","VIII","Ang"
"BVi.01c24b.14","BVi.01c24b.14"">",".i. lanre sechtmaine","'the full space of a week'","gl. ferias","sga","monolingual","interlinear","AngBVi","VIII","BVi"
"Ang.51a06c","Ang.51a06c"">","saturnus","'Saturday'","gl. septimae","la","monolingual","interlinear","AngBVi","VIII","Ang"
"BVi.01c24a","BVi.01c24a"">","saturnus","'Saturday'","gl. septimae","la","monolingual","interlinear","AngBVi","VIII","BVi"
"BVi.01c25.15","BVi.01c25.15"">","beth feil doibsem ocus bithbiuth chumsanath","'a perpetual festival to them and a perpetual rest from the world'","gl. ferias uero habere clerum primus papa siluister edocuit. cui deo soli uacanti","sga","monolingual","interlinear","BVi","VIII","BVi"
"BVi.01c25a","BVi.01c25a"">","???","''","gl.","","","interlinear","BVi","VIII","BVi"
"Ang.51a16e","Ang.51a16e"">",".i. unadie dominico","'one Sunday'","gl. monade","la","monolingual","interlinear","AngBCrBViSg","VIII","Ang"
"BCr.27d44","BCr.27d44"">","uno die","'one day'","gl. monade","la","monolingual","interlinear","AngBCrBViSg","VIII","BCr"
"BVi.01c38.16","BVi.01c38.16"">","uno .i. ondoenfiur","'one i.e. from one man'","gl. monade","la & sga","bilingual","interlinear","AngBCrBViSg","VIII","BVi"
"Sg.57.37b","Sg.57.37b"">","i. unodie","'one day'","gl. monade","la","monolingual","interlinear","AngBCrBViSg","VIII","Sg"
"Ang.51a22a","Ang.51a22a"">","annorum","'of years'","gl. exordine","la","monolingual","interlinear","AngBVi","VIII","Ang"
"BVi.01d05a","BVi.01d05a"">","annorum","'of years'","gl. exordine","la","monolingual","interlinear","AngBVi","VIII","BVi"
"Ang.51a22b","Ang.51a22b"">",".i. sacrificio","'(for) sacrifice'","gl. collectis","la","monolingual","interlinear","AngBVi","VIII","Ang"
"BVi.01d05b.17","BVi.01d05b.17"">","do idba rt","'for offering'","gl. collectis","sga","monolingual","interlinear","AngBVi","VIII","BVi"
"Ang.51a24b","Ang.51a24b"">","speramus","'we hope'","gl. praestulamur","la","monolingual","interlinear","AngBVi","VIII","Ang"
"BVi.01d09","BVi.01d09"">","speramus","'we hope'","gl. praestulamur","la","monolingual","interlinear","AngBVi","VIII","BVi"
"Ang.51a26a","Ang.51a26a"">","mundari","'cleansed'","gl. lustrari","la","monolingual","interlinear","AngBCrBViSg","VIII","Ang"
"BCr.28a04","BCr.28a04"">",".i.mundari .uel consecrari. uel lauari.","'cleansed or consecrated or washed'","gl. lustrari","la","monolingual","marginal","AngBCrBViSg","VIII","BCr"
"BVi.01d11.18","BVi.01d11.18"">","noglandis","'that they should be cleansed'","gl. lustrari","sga","monolingual","interlinear","AngBCrBViSg","VIII","BVi"
"Sg.58.02","Sg.58.02"">",".i. mundari","'i.e. cleansed'","gl. lustrari","la","monolingual","interlinear","AngBCrBViSg","VIII","Sg"
"BVi.01d30a","BVi.01d30a"">","arg capientibus et curi osis","''","gl.","la","monolingual","intercolumnar","BVi","VIIII","BVi"
"Ang.51b03a","Ang.51b03a"">","profetiam","'prophecy'","gl. margaritas","la","monolingual","interlinear","AngBCrBVi","VIIII","Ang"
"BCr.28a30","BCr.28a30"">","profetiae","'prophecies'","gl. margaritas","la","monolingual","interlinear","AngBCrBVi","VIIII","BCr"
"BVi.01d30b","BVi.01d30b"">","profoetie","'prophecies'","gl. margaritas","la","monolingual","interlinear","AngBCrBVi","VIIII","BVi"
"BVi.01d30c","BVi.01d30c"">","eclesiae","'churches'","gl. clausas","la","monolingual","interlinear","BVi","VIIII","BVi"
"BVi.01d37","BVi.01d37"">","lex","'law'","gl. uisio","la","monolingual","interlinear","BVi","VIIII","BVi"
"Ang.51b08a","Ang.51b08a"">","christus spiritu sancto","'Christ holy spirit'","gl. oleo laetitiae","la","monolingual","interlinear","AngBCrBViSg","VIIII","Ang"
"BCr.28a44","BCr.28a44"">","spiritu sancto","'holy spirit'","gl. oleo laetitiae","la","monolingual","interlinear","AngBCrBViSg","VIIII","BCr"
"BVi.01d40a","BVi.01d40a"">","spiritus sanctus","'holy spirit'","gl. oleo laetitiae","la","monolingual","interlinear","AngBCrBViSg","VIIII","BVi"
"Sg.58.25","Sg.58.25"">",".i. spiritu sancto","'holy spirit'","gl. oleo laetitiae","la","monolingual","interlinear","AngBCrBViSg","VIIII","Sg"
"BVi.01d40b","BVi.01d40b"">","profoetis et apostolis","'prophets and apostles'","gl. prae participibus suis","la","monolingual","interlinear","BVi","VIIII","BVi"
"BVi.01d24","BVi.01d24"">",".i. lunae","'of the moon'","gl. singulos","la","monolingual","interlinear","BVi","VIIII","BVi"
"BVi.01d26a.18a","BVi.01d26a.18a"">",".i. anno co mis embolism","'i.e. in a year with the embolismic month'","gl. tertio uel altero anno","la & sga","bilingual","interlinear","BVi","VIIII","BVi"
"Ang.51a36b","Ang.51a36b"">",".i. ogdad","'.i. octad'","gl. singulos adiiciens","la","monolingual","interlinear","AngBCrBVi","VIIII","Ang"
"BCr.28a25","BCr.28a25"">","ogdad et endicad","'octad and ???'","gl. singulos adiiciens","la","monolingual","interlinear","AngBCrBVi","VIIII","BCr"
"BVi.01d26b.18b","BVi.01d26b.18b"">",".i. indeud ogdato ocus circuil","'i.e. in the end of the octad and the [entire] cycle'","gl. singulos adiiciens","sga","monolingual","interlinear","AngBCrBVi","VIIII","BVi"
"Ang.51b11d","Ang.51b11d"">","angelus","'angel'","gl. asserit","la","monolingual","interlinear","AngBVi","VIIII","Ang"
"BVi.01d43","BVi.01d43"">","angelus","'angel'","gl. asserit","la","monolingual","interlinear","AngBVi","VIIII","BVi"
"BVi.02a06.18b","BVi.02a06.18b"">","ocus noich tech inso","'and this (is) a period of twenty-nine days'","gl. undetricenisque diebus","sga","monolingual","marginal","BVi","XI","BVi"
"BVi.02a10","BVi.02a10"">","di es","'day'","gl. tertia","la","monolingual","interlinear","BVi","XI","BVi"
"BVi.02a17.19","BVi.02a17.19"">","onaib laithib noich techaib","'from the twenty-nine days'","gl. sed un de xxx","sga","monolingual","interlinear","BVi","XI","BVi"
"BCr.29a50","BCr.29a50"">","innumero","'in number'","gl. summa","la","monolingual","interlinear","BCrBVi","XI","BCr"
"BVi.02a18a","BVi.02a18a"">","numero","'number'","gl. summa","la","monolingual","interlinear","BCrBVi","XI","BVi"
"BVi.02a18b","BVi.02a18b"">",".i. dies","'i.e. day'","gl. temporis","la","monolingual","interlinear","BVi","XI","BVi"
"Ang.53b01a","Ang.53b01a"">","i. xiuiiii .i. unus deest de .l.,","'i.e. nineteen i.e. one missing from fifty'","gl. non plusquam unde l dies","la","monolingual","interlinear","AngBVi","XI","Ang"
"BVi.02a19","BVi.02a19"">",".i. unus deest de .l.","'one missing from fifty'","gl. non plusquam unde l dies","la","monolingual","interlinear","AngBVi","XI","BVi"
"BCr.29b04","BCr.29b04"">","in quo fuit noe","'in which Noah was'","gl. quae praesenti","la","monolingual","marginal","BCrBVi","XI","BCr"
"BVi.02a28.19a","BVi.02a28.19a"">",".i. noe","'i.e. Noah'","gl. quae praesenti","la","monolingual","interlinear","BCrBVi","XI","BVi"
"BVi.02a30a","BVi.02a30a"">","et xxuiii","'and twenty-eight'","gl. xxuii pridie nonas","Numeral","monolingual","interlinear","BVi","XI","BVi"
"BVi.02a30.20b","BVi.02a30.20b"">","for nonus","'on nonas'","gl. nonas maias","la & sga","bilingual","interlinear","BVi","XI","BVi"
"Ang.53b08b","Ang.53b08b"">","luna","'moon'","gl. mensem","la","monolingual","interlinear","AngBVi","XI","Ang"
"BVi.02a31","BVi.02a31"">",".i. luna","'i.e. moon'","gl. mensem","la","monolingual","interlinear","AngBVi","XI","BVi"
"Ang.53b11a","Ang.53b11a"">","? adsolem sequendum tamen","'however, to follow the sun'","gl. cursus ordinem xxuiiii diebus","la","monolingual","marginal","AngBVi","XI","Ang"
"BVi.02a35.22","BVi.02a35.22"">",".i. reim n gr ein","'the course of the sun'","gl. cursus ordinem xxuiiii diebus","sga","monolingual","interlinear","AngBVi","XI","BVi"
"BVi.02a38.24","BVi.02a38.24"">","tochom l ud","'procedure'","gl. redintegratio","sga","monolingual","interlinear","BVi","XI","BVi"
"BVi.02a39","BVi.02a39"">","??? re xiimam signum","'??? twelfth sign'","gl. per xxiimam partem zodiaci","la","monolingual","interlinear","BVi","XI","BVi"
"Ang.53b21","Ang.53b21"">",".i. solis etlunae","'i.e. of the sun and of the moon'","gl. in utroque mense","la","monolingual","interlinear","AngBVi","XI","Ang"
"BVi.02b07","BVi.02b07"">","solis et lunae","'of the sun and of the moon'","gl. in utroque mense","la","monolingual","interlinear","AngBVi","XI","BVi"
"BCr.29c01","BCr.29c01"">","super lunares quia mene luna interpretatur et epo super","'superlunar because ＂mene＂ means ＂luna＂ and ＂epo＂ ＂super＂'","gl. epagomenas","la","monolingual","interlinear","BCrBViSg","XI","BCr"
"BVi.02b28.25","BVi.02b28.25"">","forescai di","'superlunar'","gl. epagomenas","sga","monolingual","interlinear","BCrBViSg","XI","BVi"
"Sg.63.21","Sg.63.21"">","i. super lunares quia mene luna interpretatur et epo super","'i.e. superlunar because ＂mene＂ means ＂luna＂ and ＂epo＂ ＂super＂'","gl. epagomenas","la","monolingual","interlinear","BCrBViSg","XI","Sg"
"BCr.29c41","BCr.29c41"">",".i.astrologis quamuis motauit sens um huius nobis","'i.e. astronomers, however, changed the sense of this for us'","gl. horoscopis","la","monolingual","interlinear","BCrBViSg","XII","BCr"
"BVi.02c14a.26","BVi.02c14a.26"">",".i. donab nemindithib","'i.e. to the horoscopists'","gl. horoscopis","sga","monolingual","interlinear","BCrBViSg","XII","BVi"
"Sg.64.17","Sg.64.17"">","i. astrologis","'i.e. astronomers'","gl. horoscopis","la","monolingual","interlinear","BCrBViSg","XII","Sg"
"BVi.02c26.27","BVi.02c26.27"">","císdi","'moneyed'","gl. monetae","sga","monolingual","interlinear","BVi","XII","BVi"
"Ang.54a33c","Ang.54a33c"">",".i. ianuaris et februaris ánuma.","'i.e. January and February ???'","gl. praepositos martio","la","monolingual","interlinear","AngBVi","XII","Ang"
"BVi.02c28","BVi.02c28"">","ianuaris et februaris","'January and February'","gl. praepositos martio","la","monolingual","interlinear","AngBVi","XII","BVi"
"BVi.02c29a","BVi.02c29a"">","metitoris imperii non imperatoris","'of the measurer of the empire not of the emperor'","gl.","la","monolingual","marginal","BVi","XII","BVi"
"BVi.02c29b","BVi.02c29b"">","ut iulius u ocaretur","'to be called iulius (July)'","gl. in honorem iulii cesaris","la","monolingual","interlinear","BVi","XII","BVi"
"BVi.02c29c","BVi.02c29c"">",".i. qui dimicauit contra augustum","'i.e. who fought against Augustus'","gl. dictatoris","la","monolingual","interlinear","BVi","XII","BVi"
"BVi.02cd01.21","BVi.02cd01.21"">","Et uiii horis lunaribus reliqua et rethid fri chachrind· binís diebus et seniís horís ocus bisse ittrí mís deacc soli octimchull. ǽrat tonimchéla luna inna óenmís ar nitesta dincotrummus sin· nisi dihuáir ocus bisse ar xxuii diebus :- :- /// hatristimchel deacc trasindami deacc","'and eight lunar hours etc. And it runs up every constellation in two days and six hours and two thirds (of an hour). It is thirteen solar months in going round as far as the Moon goes around in its one month; For from that equality, nothing is lacking except two hours and two thirds (of an hour) on twenty-seven days'","gl.","la & sga","bilingual","marginal","BViBVi","XII","BVi"
"BVi.02cd02.23","BVi.02cd02.23"">","Luna tridecima reliqua .i.ind dala ocus inna .iiii. hore dochaithi fri arrachtin gréne iarthimchul ndí indrindi dogres it hé immefolngat escidi ocus dano fris inda mí deacc escaidi ocus dano fridamí deac grene: xxui dies dí cocenn damí deacc din diblaib ocus iiii horis inanno et laithe et uiii horae testat de combath cholon rith lunae contra zodiacum :- issed immefolngi","'Month thirteen etc., i.e. the two days and the four hours that it always spends to overtake the sun after its circuit of the Zodiac, those are what constitute its thirteenth circuit over the twelve lunar months, and moreover against the twelve lunar months and also against twelve solar months. Twenty-six days, therefore, to the end of the twelve (lunar) months, it is this that consists of the two days and four hours in the year; and a day and eight hours are lacking from it, so that the moon's run against the Zodiac may be complete.'","gl.","la & sga","bilingual","marginal","BViBVi","XII","BVi"
"BVi.02d01","BVi.02d01"">","quintas","'fifth'","gl. quintanas","la","monolingual","interlinear","BVi","XII","BVi"
"Ang.54b10c","Ang.54b10c"">","ccclxu.","'three hundred sixty-five'","gl. solis cursui","Numeral","monolingual","interlinear","AngBVi","XII","Ang"
"BVi.02d05","BVi.02d05"">","ccclxu","'three hundred sixty-five'","gl. solis cursui","Numeral","monolingual","interlinear","AngBVi","XII","BVi"
"Ang.54b10d","Ang.54b10d"">","cccliiii.","'three hundred fifty-four'","gl. rationibus lunae","Numeral","monolingual","interlinear","AngBVi","XII","Ang"
"BVi.02d06","BVi.02d06"">","cccl iiii","'three hundred fifty-four'","gl. rationibus lunae","Numeral","monolingual","interlinear","AngBVi","XII","BVi"
"BVi.02d09.28","BVi.02d09.28"">","ammar","'like, as'","gl. tantum","sga","monolingual","interlinear","BVi","XII","BVi"
"Ang.54b14e","Ang.54b14e"">",".i. romulus","'i.e. Romulus'","gl. sed secutus numa l","la","monolingual","interlinear","AngBVi","XII","Ang"
"BVi.02d11","BVi.02d11"">","romulus inregn um","'Romulus, in the kingdom'","gl. sed secutus numa l","la","monolingual","interlinear","AngBVi","XII","BVi"
"BVi.02d15b","BVi.02d15b"">",".i. mensibus","'i.e. months'","gl. singulis","la","monolingual","interlinear","BVi","XII","BVi"
"Ang.54b17b","Ang.54b17b"">","abstractos","'abstract'","gl. sex","la","monolingual","interlinear","AngBCrBVi","XII","Ang"
"BCr.29d36c","BCr.29d36c"">","abstractos","'abstract'","gl. sex","la","monolingual","interlinear","AngBCrBVi","XII","BCr"
"BVi.02d15a","BVi.02d15a"">","abstractos","'abstract'","gl. sex","la","monolingual","interlinear","AngBCrBVi","XII","BVi"
"BVi.02d16","BVi.02d16"">","dies","'day'","gl. singulos","la","monolingual","interlinear","BVi","XII","BVi"
"BVi.02d22","BVi.02d22"">",".i. orco","'underworld'","gl. plautoni","la","monolingual","interlinear","BVi","XII","BVi"
"Ang.54b23c","Ang.54b23c"">",".i. sacrificia","'sacrifices'","gl. iusta","la","monolingual","interlinear","AngBCrBViSg","XII","Ang"
"BCr.29d48a","BCr.29d48a"">",".i.sacrificia","'sacrifices'","gl. iusta","la","monolingual","marginal","AngBCrBViSg","XII","BCr"
"BVi.02d25","BVi.02d25"">","sacrificia","'sacrifices'","gl. iusta","la","monolingual","interlinear","AngBCrBViSg","XII","BVi"
"Sg.66.01","Sg.66.01"">","i. sacrificia.","'sacrifices'","gl. iusta","la","monolingual","interlinear","AngBCrBViSg","XII","Sg"
"BCr.29d50","BCr.29d50"">","id est .iiii. non. februaris ιπα παμti. graece hic??? est obiad eo die as sumpsit se meo? christumin templo","''","gl. sanctae mariae plebs uniuersa","la","monolingual","marginal","BCrBVi","XII","BCr"
"BVi.02d27.29","BVi.02d27.29"">","feil acos ac cartha intemplo","'the feast of her consecration in the temple'","gl. sanctae mariae plebs uniuersa","la & sga","bilingual","interlinear","BCrBVi","XII","BVi"
"Ang.54b27b","Ang.54b27b"">","candelas","'candles'","gl. cereos","la","monolingual","interlinear","AngBVi","XII","Ang"
"BVi.02d30","BVi.02d30"">",".i. lucernas","'lamps'","gl. cereos","la","monolingual","interlinear","AngBVi","XII","BVi"
"BVi.02d31","BVi.02d31"">","inceteris","'among the rest'","gl. id ipsum eiusdem","la","monolingual","interlinear","BVi","XII","BVi"
"Ang.54b34c","Ang.54b34c"">","i. xxxi et xxuiiii.","'i.e. thirty-one and twenty-nine'","gl. in mensibus singulis","la","monolingual","interlinear","AngBVi","XII","Ang"
"BVi.02d40.30","BVi.02d40.30"">",".i. noich thich huili","'i.e. all (are) a period of twenty-nine days'","gl. in mensibus singulis","sga","monolingual","interlinear","AngBVi","XII","BVi"
"BVi.02d41","BVi.02d41"">",".i. ???","''","gl.","","","interlinear","BVi","XII","BVi"
"BVi.03a04","BVi.03a04"">","circulum.","'orbit'","gl. conficit deesse","la","monolingual","interlinear","BVi","XII","BVi"
"BVi.03a05","BVi.03a05"">","dies","'day'","gl. et quadrantem","la","monolingual","marginal","BVi","XII","BVi"
